customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
RB50392,washington,f,master,588174,0,1000,0,Personal Auto,four-door car,2
QZ44356,arizona,f,bachelor,697953,0,94,0,Personal Auto,four-door car,1131
AI49188,nevada,f,bachelor,1288743,48767,108,0,Personal Auto,two-door car,566
WW63253,california,m,bachelor,764586,0,106,0,Corporate Auto,suv,529
GA49547,washington,m,high school or below,536307,36357,68,0,Personal Auto,four-door car,17
OC83172,oregon,f,bachelor,825629,62902,69,0,Personal Auto,two-door car,159
XZ87318,oregon,f,college,538089,55350,67,0,Corporate Auto,four-door car,321
CF85061,arizona,m,master,721610,0,101,0,Corporate Auto,four-door car,363
DY87989,oregon,m,bachelor,2412750,14072,71,0,Corporate Auto,four-door car,511
BQ94931,oregon,f,college,738817,28812,93,0,Special Auto,four-door car,425
SX51350,california,m,college,473899,0,67,0,Personal Auto,four-door car,482
VQ65197,california,f,college,819719,0,110,0,Personal Auto,suv,528
DP39365,california,f,master,879879,77026,110,2,Corporate Auto,four-door car,472
SJ95423,arizona,f,high school or below,881901,99845,110,1,Corporate Auto,suv,528
IL66569,california,f,college,538443,83689,70,2,Corporate Auto,four-door car,307
BW63560,oregon,f,bachelor,746313,24599,64,1,Corporate Auto,four-door car,42
FV94802,nevada,f,high school or below,256686,25049,67,0,Personal Auto,two-door car,454
OE15005,cali,f,college,394524,28855,101,0,Personal Auto,suv,647
WC83389,oregon,f,college,571033,51148,72,0,Personal Auto,four-door car,308
FL50705,california,f,high school or below,816261,66140,101,0,Corporate Auto,four-door car,484
ZK25313,oregon,f,high school or below,287205,57749,74,0,Personal Auto,two-door car,355
QK46697,washington,m,bachelor,617710,61040,79,1,Personal Auto,two-door car,20
YH23384,arizona,f,bachelor,2412750,14072,71,0,Personal Auto,four-door car,511
TZ98966,nevada,f,bachelor,245019,0,73,3,Corporate Auto,four-door car,554
HM55802,california,f,bachelor,239210,17870,61,0,Corporate Auto,four-door car,439
FS42516,oregon,f,college,580206,97541,72,0,Personal Auto,four-door car,389
US89481,california,f,bachelor,394637,0,111,0,Personal Auto,four-door car,799
HS14476,washington,m,college,916206,29723,80,0,Personal Auto,four-door car,20
GE62437,arizona,f,college,1290256,86584,111,2,Personal Auto,four-door car,532
EJ77678,oregon,f,master,323536,75690,80,1,Personal Auto,four-door car,384
SV85652,arizona,f,college,245458,23158,63,1,Personal Auto,four-door car,322
UL64533,nevada,f,high school or below,1897545,65999,237,0,Corporate Auto,luxury suv,615
PF41800,california,f,bachelor,471532,0,65,0,Personal Auto,four-door car,308
HD95276,washington,f,college,473787,0,130,0,Personal Auto,suv,23
SK67821,oregon,f,bachelor,493291,37260,62,0,Corporate Auto,four-door car,15
YV55495,arizona,f,high school or below,574422,68987,71,0,Personal Auto,four-door car,204
KY38074,california,f,bachelor,1389173,42305,117,0,Personal Auto,four-door car,561
DM79012,oregon,f,master,738097,65706,91,0,Personal Auto,four-door car,436
CM61827,oregon,f,bachelor,309003,0,90,0,Personal Auto,two-door car,648
WC35801,arizona,f,high school or below,252163,53243,66,2,Personal Auto,four-door car,157
